<bid_top>;<c>;<c2>;p
0.13784915;0.36908096;0.025207704;-0.01943452
0.19505112;0.39655852;0.27458918;-0.14043576
0.12054825;0.53771627;0.4106264;0.20168745
0.11841463;0.51112974;0.33365074;-0.04797228
0.05461536;0.54775876;0.35441443;0.01627217
0.3222357;0.5408893;0.5205187;-0.22763667
0.07044235;0.32843566;0.1794723;-0.07044235
0.07088753;0.3761016;0.15604272;-0.07088753
0.09459903;0.53995675;0.3033422;-0.07178514
0;0.42060217;0.0894038;0
0;0.71577215;0.24798308;0
0.02281389;0.38386542;0.28407708;0
0;0.47951508;0.37783268;0
0;0.4781105;0.20903465;0
0.02281389;0.30972713;0.14938477;0
0;0.8029618;0.27725574;0
0;0.6644858;0.10480817;0
0.02281389;0.56444967;0.6888037;0
0;0.6345067;0.49901822;0.02281389
0;0.53512406;0.7205322;0
0.02281389;0.483884;0.023931786;0.23758646
0.02281389;0.5917199;0.54903054;-0.02281389
0;0.56144303;0.20580187;0
0.26040035;0.2605545;0.5084698;-0.26040035
0;0.36891446;0.1645944;0.00000001
0;0.4857006;0.6082871;0.02616825
0;0.5528375;0.4188359;0.02616825
1.00E-08;0.43297303;0.09993426;0.02619298
0.02616825;0.4788576;0.37861267;0.01054485
0.02616825;0.7403654;0.5204037;0.01082116
0.02619299;0.60497725;0.4843059;0.01083096
0.0367131;0.5871824;0.84071225;0.00031085
0.03698941;0.6153663;0.48877916;-0.03698941
0.03702395;0.5069453;0.4928057;-0.03702393
0.03702395;0.24902228;0.51767975;-0.03702392
0;0.48570338;0.20226234;0.00000003
2.00E-08;0.40905887;0.010045609;-0.00000002
3.00E-08;0.5437652;0.14243433;-0.00000003
3.00E-08;0.34883022;0.09439625;-0.00000003
0;0.94759834;0.4372105;0
0;0.5560872;0.60647565;0
0;1;0.24221459;0
0;0.8802395;0.33981752;0.02423045
0;0.82469416;0.44733554;0.01663894
0;0.7474863;0.42313966;0.02529951
0.02423045;0.74747705;0.5153022;0.00126873
0.01663894;0.7668055;0.38913843;0.00944262
0.02529951;0.7467572;0.4103219;0.03570715
0.02549918;0.7575594;0.39054388;0.03550749
0.02608156;0.7486104;0.38965794;0.03492512
0.06100666;0.7486978;0.32992172;-0.03430112
0.06100667;0.79883367;0.24773456;-0.03426782
0.06100668;0.73833144;0.3899665;-0.04436774
0.02670554;0.74522465;0.47062603;-0.0100666
0.02673885;0.7423768;0.48718777;-0.01009991
0.01663894;0.7869175;0.68683517;-0.01663894
0.01663894;0.76312375;0.8320899;0.0281593
0.01663894;0.7860287;0.6379236;0.0285703
0;0.7627764;0.80215794;0.04562025
0.04479824;0.7169318;0.2928341;0.00779342
0.04520924;0.8197836;0.36451033;0.00780118
0.04562025;0.79315543;0.48345023;0.03804428
0.05259166;0.7641448;0.986432;0.03145285
0.05301042;0.7941121;0.8134506;0.03160795
0.08366453;0.7680665;0.69896334;0.02303129
0.08404451;0.7523792;0.42072245;0.03037494
0.08461837;0.15285724;0.88201;0.02980108
0.10669582;1;0.49631184;0.00772363
0.11441945;0.8885119;0.41934994;0
0.11441945;0.8371393;0.5050112;-0.11441945
0.11441945;0.7712121;0.5846158;0.03896579
0.11441945;0.80842626;0.58252764;-0.06106992
0;0.81564415;0.22768827;0.0585084
0.15338524;0.8357464;0.53864056;-0.06389254
0.05334953;0.84607214;0.5093662;0.03614317
0.0585084;0.8311441;0.4959108;0.03614662
0.0894927;0.77632034;0.6284969;0.09300972
0.0894927;0.78709877;0.5836725;-5.17E-06
0.09465502;0.79279226;0.58782405;-0.00516749
0.18250242;0.7574269;0.6341868;-0.09300456
0.08948753;0.8232719;0.5023062;0.00013953
0.08948753;0.7667887;0.5529275;0.00026872
0.08949786;0.74622923;0.53713655;0.00025839
0.08962706;0.7608787;0.61993873;0.00503313
0.08975625;0.7972393;0.428247;-0.08975625
0.08975625;0.78553534;0.4180176;-0.07290535
0.09466019;0.7712035;0.6097245;-0.07780423
0;0.83977497;0.21922098;0.0168509
0.0168509;0.6066156;0.6622295;0
0.01685596;0.85391283;0.27905542;-0.01676106
0.0168509;0.81521904;0.551547;-0.016756
0.0168509;0.68738014;0.5194206;-0.016756
9.49E-05;0.7373999;0.5283175;0
9.49E-05;0.72642195;0.5423918;0
9.49E-05;0.7587651;0.4914324;-0.0000949
9.49E-05;0.7424394;0.50559354;0.01739115
9.49E-05;0.7412871;0.34880385;-0.0000949
0;0.7891762;0.9713658;0.0923367
0.01748605;0.71596575;0.29645014;0.07483305
0;0.81455517;0.33094248;0.10552493
0.0923367;0.67002046;0.5764112;0.01695805
0.0923191;0.730969;0.43828884;-0.00565892
0.10552493;0.6799545;0.57891726;-0.10552493
0.10929475;0.7296908;0.42763543;-0.10929475
0.08666018;0.7316433;0.51286393;-0.08666018
0;0.78579277;0.52599335;0
0;0.8781229;0.5830254;0.00039283
0;0.84016865;0.32728183;0.02454669
